title,category,publish-date,abstract,first-keyword,second-keyword,third-keyword,fourth-keyword,fifth-keyword,sixth-keyword,seventh-keyword,eighth-keyword,language,author,affiliation
Desvendando conhecimentos sociais em equipes de desenvolvimento de software a partir de logs de comunicação,Anais,2025,"Este estudo investiga os conhecimentos sociais presentes nos logs de comunicação de equipes de desenvolvimento de software. Com a crescente adoção de ferramentas de chats como meio de comunicação, os logs de comunicação de tais ferramentas contêm não apenas informações técnicas, mas também evidências da dinâmica social das equipes. Utilizando a Análise Temática, nesta pesquisa, foram identificados 10 tipos de conhecimentos sociais, destacando-se “Comunicação e Sinergia”, “Solicitação de Colaboração Técnica”, “Interações de Cortesia e Socialização” e “Feedback de Agradecimento”. Os achados oferecem evidências sobre o tipo e a frequência de aspectos sociais presentes nos registros de comunicação de equipes de desenvolvimento de software.",Conhecimento social,Logs de comunicação,Desenvolvimento de software,,,,,,Português,marcia s. lima,UEA
Avaliação Heurística Combinada de uma Plataforma Colaborativa de Monitoramento e Avaliação de Educação Ambiental,Anais,2025,"Este artigo apresenta uma avaliação heurística da plataforma MonitoraEA, o sistema de avaliação de iniciativas de Educação Ambiental no Brasil. A metodologia utilizada incluiu heurísticas tradicionais de usabilidade e específicas para visualização de dados e interface web. Além de contar com heurísticas para sistemas colaborativos coletadas em uma revisão rápida da literatura. Como resultado, recomendações foram propostas para aprimorar a experiência do usuário da plataforma e servem de base para outras avaliações no contexto colaborativo.",Avaliação heurística,Usabilidade,Sistemas colaborativos,,,,,,Português,rodrigo oliveira,UFF
Avaliação Heurística Combinada de uma Plataforma Colaborativa de Monitoramento e Avaliação de Educação Ambiental,Anais,2025,"Este artigo apresenta uma avaliação heurística da plataforma MonitoraEA, o sistema de avaliação de iniciativas de Educação Ambiental no Brasil. A metodologia utilizada incluiu heurísticas tradicionais de usabilidade e específicas para visualização de dados e interface web. Além de contar com heurísticas para sistemas colaborativos coletadas em uma revisão rápida da literatura. Como resultado, recomendações foram propostas para aprimorar a experiência do usuário da plataforma e servem de base para outras avaliações no contexto colaborativo.",Avaliação heurística,Usabilidade,Sistemas colaborativos,,,,,,Português,evandro a. branco,INPE
Avaliação Heurística Combinada de uma Plataforma Colaborativa de Monitoramento e Avaliação de Educação Ambiental,Anais,2025,"Este artigo apresenta uma avaliação heurística da plataforma MonitoraEA, o sistema de avaliação de iniciativas de Educação Ambiental no Brasil. A metodologia utilizada incluiu heurísticas tradicionais de usabilidade e específicas para visualização de dados e interface web. Além de contar com heurísticas para sistemas colaborativos coletadas em uma revisão rápida da literatura. Como resultado, recomendações foram propostas para aprimorar a experiência do usuário da plataforma e servem de base para outras avaliações no contexto colaborativo.",Avaliação heurística,Usabilidade,Sistemas colaborativos,,,,,,Português,ricardo zylbergeld,INPE
Avaliação Heurística Combinada de uma Plataforma Colaborativa de Monitoramento e Avaliação de Educação Ambiental,Anais,2025,"Este artigo apresenta uma avaliação heurística da plataforma MonitoraEA, o sistema de avaliação de iniciativas de Educação Ambiental no Brasil. A metodologia utilizada incluiu heurísticas tradicionais de usabilidade e específicas para visualização de dados e interface web. Além de contar com heurísticas para sistemas colaborativos coletadas em uma revisão rápida da literatura. Como resultado, recomendações foram propostas para aprimorar a experiência do usuário da plataforma e servem de base para outras avaliações no contexto colaborativo.",Avaliação heurística,Usabilidade,Sistemas colaborativos,,,,,,Português,ana m. amorim,INPE
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,genildo gomes,UFAM
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,fernando nogueira,UFAM
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,joao g. kienen,UFAM
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,bernardo scarambone,EKU
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,Desiree Scarambone,EKU
Beyond Applause: A Collaborative and Interactive Experience in Piano Concerts,Anais,2025,"Concertos de piano clássico tradicionalmente posicionam o público como observadores passivos, limitando sua expressão emocional e participação principalmente ao aplauso após a performance. Essa postura passiva contrasta fortemente com eventos interativos modernos, gerando uma lacuna entre a expectativa do público e os formatos clássicos de concerto. Este estudo explora como a audiência pode contribuir colaborativamente para a construção de um ambiente cênico interativo em concertos de piano, sem interferir na performance do músico. Ao utilizar o aplicativo FeelIt, introduzimos uma abordagem inovadora que permite a participação em tempo real do público por meio de interações digitais não intrusivas, possibilitando que os espectadores expressem suas emoções por meio de reações visuais sem comprometer a execução artística da apresentação. Os resultados da Escala de Engajamento do Usuário (UES) destacam aspectos positivos da estética e da natureza recompensadora da ferramenta, reforçando seu potencial para aprimorar a experiência da audiência. Este estudo contribui para a pesquisa sobre tecnologias interativas nas artes performáticas, oferecendo insights sobre como ferramentas digitais podem transformar experiências tradicionalmente passivas em eventos mais dinâmicos e participativos, mantendo a integridade artística.",Interatividade,Engajamento da audiência,Artes performáticas,,,,,,Inglês,Leandro Galvão,UFAM
Modelagem da colaboração em processos organizacionais: Uma revisão sistemática de literatura,Anais,2025,"Organizações inseridas na economia do conhecimento apresentam maior complexidade em razão de diferentes atores envolvidos na produção de valor e, portanto, a colaboração passa a ter papel relevante na gestão dos processos. No entanto, a modelagem da colaboração é difícil de representar. O objetivo deste artigo é identificar quais abordagens e notações mais apropriadas para modelagem da colaboração em processos. Para isso, realizou-se uma revisão sistemática de literatura a fim de compreender o estado das pesquisas relacionadas ao tema. Como resultado, observamos que a utilização do BPMN como notação base pode atender ao propósito se incrementado a novos elementos relacionados à teoria da colaboração.",Modelagem de colaboração,BPMN,Processos organizacionais,,,,,,Português,adriana s. vivacqua,UFRJ
Modelagem da colaboração em processos organizacionais: Uma revisão sistemática de literatura,Anais,2025,"Organizações inseridas na economia do conhecimento apresentam maior complexidade em razão de diferentes atores envolvidos na produção de valor e, portanto, a colaboração passa a ter papel relevante na gestão dos processos. No entanto, a modelagem da colaboração é difícil de representar. O objetivo deste artigo é identificar quais abordagens e notações mais apropriadas para modelagem da colaboração em processos. Para isso, realizou-se uma revisão sistemática de literatura a fim de compreender o estado das pesquisas relacionadas ao tema. Como resultado, observamos que a utilização do BPMN como notação base pode atender ao propósito se incrementado a novos elementos relacionados à teoria da colaboração.",Modelagem de colaboração,BPMN,Processos organizacionais,,,,,,Português,andreza c. santos,UFRJ
Modelagem da colaboração em processos organizacionais: Uma revisão sistemática de literatura,Anais,2025,"Organizações inseridas na economia do conhecimento apresentam maior complexidade em razão de diferentes atores envolvidos na produção de valor e, portanto, a colaboração passa a ter papel relevante na gestão dos processos. No entanto, a modelagem da colaboração é difícil de representar. O objetivo deste artigo é identificar quais abordagens e notações mais apropriadas para modelagem da colaboração em processos. Para isso, realizou-se uma revisão sistemática de literatura a fim de compreender o estado das pesquisas relacionadas ao tema. Como resultado, observamos que a utilização do BPMN como notação base pode atender ao propósito se incrementado a novos elementos relacionados à teoria da colaboração.",Modelagem de colaboração,BPMN,Processos organizacionais,,,,,,Português,daniel zandona,UFRJ
Modelagem da colaboração em processos organizacionais: Uma revisão sistemática de literatura,Anais,2025,"Organizações inseridas na economia do conhecimento apresentam maior complexidade em razão de diferentes atores envolvidos na produção de valor e, portanto, a colaboração passa a ter papel relevante na gestão dos processos. No entanto, a modelagem da colaboração é difícil de representar. O objetivo deste artigo é identificar quais abordagens e notações mais apropriadas para modelagem da colaboração em processos. Para isso, realizou-se uma revisão sistemática de literatura a fim de compreender o estado das pesquisas relacionadas ao tema. Como resultado, observamos que a utilização do BPMN como notação base pode atender ao propósito se incrementado a novos elementos relacionados à teoria da colaboração.",Modelagem de colaboração,BPMN,Processos organizacionais,,,,,,Português,juliana b. s. franca,UFRJ
Modelagem da colaboração em processos organizacionais: Uma revisão sistemática de literatura,Anais,2025,"Organizações inseridas na economia do conhecimento apresentam maior complexidade em razão de diferentes atores envolvidos na produção de valor e, portanto, a colaboração passa a ter papel relevante na gestão dos processos. No entanto, a modelagem da colaboração é difícil de representar. O objetivo deste artigo é identificar quais abordagens e notações mais apropriadas para modelagem da colaboração em processos. Para isso, realizou-se uma revisão sistemática de literatura a fim de compreender o estado das pesquisas relacionadas ao tema. Como resultado, observamos que a utilização do BPMN como notação base pode atender ao propósito se incrementado a novos elementos relacionados à teoria da colaboração.",Modelagem de colaboração,BPMN,Processos organizacionais,,,,,,Português,Angélica F. S. Dias,UFRJ
Com Quem Colaboras? Uma Análise Bibliométrica das Redes de Pesquisa em Sistemas Colaborativos na SBC Open Library,Anais,2025,"A pesquisa em Sistemas Colaborativos envolve uma comunidade interdisciplinar dedicada a investigar seu desenvolvimento, uso e impacto em diferentes contextos, mas ainda há pouca compreensão sobre suas redes de coautoria e temas recorrentes. Este estudo realiza uma análise bibliométrica no Simpósio Brasileiro de Sistemas Colaborativos, empregando web scraping para extrair dados da SBC Open Library. A metodologia inclui normalização de nomes, tradução de palavras-chave e visualização de redes com D3.js. Os resultados revelam colaborações em temas como Crowdsourcing e Metaverso. O estudo contribui para fortalecer interações entre pesquisadores e orientar futuras investigações na área.",Sistemas colaborativos,Redes de coautoria,Web scraping,Temas emergentes,,,,,Português,alexandre pires,IFFar
Com Quem Colaboras? Uma Análise Bibliométrica das Redes de Pesquisa em Sistemas Colaborativos na SBC Open Library,Anais,2025,"A pesquisa em Sistemas Colaborativos envolve uma comunidade interdisciplinar dedicada a investigar seu desenvolvimento, uso e impacto em diferentes contextos, mas ainda há pouca compreensão sobre suas redes de coautoria e temas recorrentes. Este estudo realiza uma análise bibliométrica no Simpósio Brasileiro de Sistemas Colaborativos, empregando web scraping para extrair dados da SBC Open Library. A metodologia inclui normalização de nomes, tradução de palavras-chave e visualização de redes com D3.js. Os resultados revelam colaborações em temas como Crowdsourcing e Metaverso. O estudo contribui para fortalecer interações entre pesquisadores e orientar futuras investigações na área.",Sistemas colaborativos,Redes de coautoria,Web scraping,Temas emergentes,,,,,Português,enzo kleinpaul,IFFar
Com Quem Colaboras? Uma Análise Bibliométrica das Redes de Pesquisa em Sistemas Colaborativos na SBC Open Library,Anais,2025,"A pesquisa em Sistemas Colaborativos envolve uma comunidade interdisciplinar dedicada a investigar seu desenvolvimento, uso e impacto em diferentes contextos, mas ainda há pouca compreensão sobre suas redes de coautoria e temas recorrentes. Este estudo realiza uma análise bibliométrica no Simpósio Brasileiro de Sistemas Colaborativos, empregando web scraping para extrair dados da SBC Open Library. A metodologia inclui normalização de nomes, tradução de palavras-chave e visualização de redes com D3.js. Os resultados revelam colaborações em temas como Crowdsourcing e Metaverso. O estudo contribui para fortalecer interações entre pesquisadores e orientar futuras investigações na área.",Sistemas colaborativos,Redes de coautoria,Web scraping,Temas emergentes,,,,,Português,rafael parizi,IFFar
Habilidades Colaborativas no Mercado de TI: Uma Investigação sobre Requisitos de Soft Skills,Anais,2025,"O desenvolvimento de software exige colaboração entre profissionais com diferentes perfis, combinando hard skills, como resolução de problemas e habilidades com linguagens de programação, e soft skills, como comunicação e liderança. A natureza da área de desenvolvimento de software, faz com que os profissionais sejam treinados e invistam majoritariamente em hard skills, deixando de lado as habilidades de natureza mais colaborativa. Nesse contexto, torna-se necessário entender quais habilidades de colaboração o mercado tem requerido, para que seja possível melhorar os cursos na área de computação para atender à demanda. Assim, este estudo analisa habilidades colaborativas demandadas por recrutadores, utilizando o Modelo 3C (comunicação, coordenação e cooperação). Neste estudo, foram examinadas 19.027 chamadas de trabalho, sendo que 8.443 destacavam soft skills, e 42% delas mencionavam colaboração. Os achados mostram a crescente valorização dessas competências no setor, evidenciando a necessidade de iniciativas para seu aprimoramento entre profissionais de tecnologia.",Habilidades colaborativas,Desenvolvimento de software,Soft skills,Recrutamento e seleção,Modelo 3C,,,,Português,wellynton diniz,Cesar School
Habilidades Colaborativas no Mercado de TI: Uma Investigação sobre Requisitos de Soft Skills,Anais,2025,"O desenvolvimento de software exige colaboração entre profissionais com diferentes perfis, combinando hard skills, como resolução de problemas e habilidades com linguagens de programação, e soft skills, como comunicação e liderança. A natureza da área de desenvolvimento de software, faz com que os profissionais sejam treinados e invistam majoritariamente em hard skills, deixando de lado as habilidades de natureza mais colaborativa. Nesse contexto, torna-se necessário entender quais habilidades de colaboração o mercado tem requerido, para que seja possível melhorar os cursos na área de computação para atender à demanda. Assim, este estudo analisa habilidades colaborativas demandadas por recrutadores, utilizando o Modelo 3C (comunicação, coordenação e cooperação). Neste estudo, foram examinadas 19.027 chamadas de trabalho, sendo que 8.443 destacavam soft skills, e 42% delas mencionavam colaboração. Os achados mostram a crescente valorização dessas competências no setor, evidenciando a necessidade de iniciativas para seu aprimoramento entre profissionais de tecnologia.",Habilidades colaborativas,Desenvolvimento de software,Soft skills,Recrutamento e seleção,Modelo 3C,,,,Português,bruno gadelha,UFAM
Habilidades Colaborativas no Mercado de TI: Uma Investigação sobre Requisitos de Soft Skills,Anais,2025,"O desenvolvimento de software exige colaboração entre profissionais com diferentes perfis, combinando hard skills, como resolução de problemas e habilidades com linguagens de programação, e soft skills, como comunicação e liderança. A natureza da área de desenvolvimento de software, faz com que os profissionais sejam treinados e invistam majoritariamente em hard skills, deixando de lado as habilidades de natureza mais colaborativa. Nesse contexto, torna-se necessário entender quais habilidades de colaboração o mercado tem requerido, para que seja possível melhorar os cursos na área de computação para atender à demanda. Assim, este estudo analisa habilidades colaborativas demandadas por recrutadores, utilizando o Modelo 3C (comunicação, coordenação e cooperação). Neste estudo, foram examinadas 19.027 chamadas de trabalho, sendo que 8.443 destacavam soft skills, e 42% delas mencionavam colaboração. Os achados mostram a crescente valorização dessas competências no setor, evidenciando a necessidade de iniciativas para seu aprimoramento entre profissionais de tecnologia.",Habilidades colaborativas,Desenvolvimento de software,Soft skills,Recrutamento e seleção,Modelo 3C,,,,Português,rafael parizi,NAU
Habilidades Colaborativas no Mercado de TI: Uma Investigação sobre Requisitos de Soft Skills,Anais,2025,"O desenvolvimento de software exige colaboração entre profissionais com diferentes perfis, combinando hard skills, como resolução de problemas e habilidades com linguagens de programação, e soft skills, como comunicação e liderança. A natureza da área de desenvolvimento de software, faz com que os profissionais sejam treinados e invistam majoritariamente em hard skills, deixando de lado as habilidades de natureza mais colaborativa. Nesse contexto, torna-se necessário entender quais habilidades de colaboração o mercado tem requerido, para que seja possível melhorar os cursos na área de computação para atender à demanda. Assim, este estudo analisa habilidades colaborativas demandadas por recrutadores, utilizando o Modelo 3C (comunicação, coordenação e cooperação). Neste estudo, foram examinadas 19.027 chamadas de trabalho, sendo que 8.443 destacavam soft skills, e 42% delas mencionavam colaboração. Os achados mostram a crescente valorização dessas competências no setor, evidenciando a necessidade de iniciativas para seu aprimoramento entre profissionais de tecnologia.",Habilidades colaborativas,Desenvolvimento de software,Soft skills,Recrutamento e seleção,Modelo 3C,,,,Português,cesar franca,UFRPE
